Time [msec],x [m],y [m],z [m],Red,Green,Blue
0,2.5,0,0,1,255,228
250,2.5,0,0.0099,1,255,228
500,2.5,0,0.0295,1,255,228
750,2.5,0,0.0587,1,255,228
1000,2.5,0,0.0973,1,255,228
1250,2.5,0,0.1452,1,255,228
1500,2.5,0,0.2022,1,255,228
1750,2.5,0,0.2681,1,255,228
2000,2.5,0,0.3429,1,255,228
2250,2.5,0,0.4264,1,255,228
2500,2.5,0,0.5184,255,4,6
2750,2.5,0,0.6188,254,5,7
3000,2.5,0,0.7274,253,6,8
3250,2.5,0,0.8441,252,7,8
3500,2.5,0,0.9688,251,8,9
3750,2.5,0,1.1013,250,9,10
4000,2.5,0,1.2414,249,9,11
4250,2.5,0,1.3889,248,10,12
4500,2.5,0,1.5439,247,11,13
4750,2.5,0,1.706,247,12,13
5000,2.5,0,1.8752,246,13,14
5250,2.5,0,2.0514,245,14,15
5500,2.5,0,2.2342,244,15,16
5750,2.5,0,2.4237,243,16,17
6000,2.5,0,2.6197,242,17,17
6250,2.5,0,2.8219,241,18,18
6500,2.5,0,3.0304,240,19,19
6750,2.5,0,3.2448,239,19,20
7000,2.5,0,3.4652,238,20,21
7250,2.5,0,3.6912,237,21,22
7500,2.5,0,3.9229,236,22,22
7750,2.5,0,4.16,235,23,23
8000,2.5,0,4.4023,234,24,24
8250,2.5,0,4.6498,233,25,25
8500,2.5,0,4.9023,232,26,26
8750,2.5,0,5.1596,232,27,26
9000,2.5,0,5.4216,231,28,27
9250,2.5,0,5.6882,230,29,28
9500,2.5,0,5.9592,229,29,29
9750,2.5,0,6.2344,228,30,30
10000,2.5,0,6.5137,227,31,31
10250,2.5,0,6.797,226,32,31
10500,2.5,0,7.0841,225,33,32
10750,2.5,0,7.3748,224,34,33
11000,2.5,0,7.6691,224,34,33
11250,2.5,0,7.9667,223,35,34
11500,2.5,0,8.2675,222,36,35
11750,2.5,0,8.5714,221,37,35
12000,2.5,0,8.8783,220,38,36
12250,2.5,0,9.1879,219,39,37
12500,2.5,0,9.5001,219,39,38
12750,2.5,0,9.8148,218,40,39
13000,2.5,0,10.1319,217,41,39
13250,2.5,0,10.4511,216,42,40
13500,2.5,0,10.7724,215,43,41
13750,2.5,0,11.0955,214,44,42
14000,2.5,0,11.4204,213,45,43
14250,2.5,0,11.7469,212,46,43
14500,2.5,0,12.0748,211,47,44
14750,2.5,0,12.4041,210,48,45
15000,2.5,0,12.7345,209,49,46
15250,2.5,0,13.0659,208,49,47
15500,2.5,0,13.3981,208,50,47
15750,2.5,0,13.7311,207,51,48
16000,2.5,0,14.0646,206,52,49
16250,2.5,0,14.3985,205,53,50
16500,2.5,0,14.7327,204,54,51
16750,2.5,0,15.067,203,55,51
17000,2.5,0,15.4013,202,56,52
17250,2.5,0,15.7354,201,57,53
17500,2.5,0,16.0692,200,58,54
17750,2.5,0,16.4025,199,59,55
18000,2.5,0,16.7352,198,59,55
18250,2.5,0,17.0671,198,60,56
18500,2.5,0,17.3981,197,61,57
18750,2.5,0,17.728,196,62,58
19000,2.5,0,18.0567,195,63,59
19250,2.5,0,18.3841,194,64,59
19500,2.5,0,18.71,193,65,60
19750,2.5,0,19.0342,192,66,61
20000,2.5,0,19.3566,191,67,62
20250,2.5,0,19.6771,190,68,63
20500,2.5,0,19.9954,189,69,63
20750,2.5,0,20.3115,188,69,64
21000,2.5,0,20.6253,187,70,65
21250,2.5,0,20.9365,187,71,66
21500,2.5,0,21.245,186,72,67
21750,2.5,0,21.5506,185,73,68
22000,2.5,0,21.8533,184,74,68
22250,2.5,0,22.1529,183,75,69
22500,2.5,0,22.4491,182,76,70
22750,2.5,0,22.742,181,77,71
23000,2.5,0,23.0313,180,78,72
23250,2.5,0,23.3168,179,79,72
23500,2.5,0,23.5985,178,79,73
