idx,t,px,py,pz,vx,vy,vz,ax,ay,az,yaw,mode,ledr,ledg,ledb
0,0.0,-2.5000000000000013,-10.000000000000005,8.368620923398063e-18,8.881784197001252e-15,3.552713678800501e-14,0.00580195585145355,-8.881784197001252e-14,-3.552713678800501e-13,-0.26161303900969024,0.0,70.0,1.0,3.0,255.0
1,0.05,-2.500000000000001,-10.000000000000004,0.0002900977925726859,4.440892098500626e-15,1.7763568394002505e-14,-0.0072786960990309625,-8.881784197001252e-14,-3.552713678800501e-13,-0.39211792863832406,0.0,70.0,1.0,3.0000000000185114,254.59297231680236
2,0.1,-2.500000000000001,-10.000000000000004,-0.0007278696099030879,0.0,0.0,-0.03340983701237886,-4.440892098500626e-14,-1.7763568394002505e-13,-0.5220195585145353,0.0,70.0,1.0,3.000000000024682,254.1906297557365
3,0.15000000000000002,-2.500000000000001,-10.000000000000004,-0.0030508859086652005,0.0,0.0,-0.0594806519504845,-5.329070518200751e-13,-2.1316282072803006e-12,-0.5208130390097185,0.0,70.0,1.0,3.0000000000215965,253.79180103626945
4,0.2,-2.500000000000001,-10.000000000000004,-0.006675934804951538,-5.3290705182007514e-14,-2.1316282072803006e-13,-0.08549114091335072,-5.329070518200751e-13,-2.1316282072803006e-12,-0.5196147743404438,0.0,70.0,1.0,3.000000000012341,253.39531487786826
5,0.25,-2.500000000000006,-10.000000000000025,-0.011600000000000273,-5.3290705182007514e-14,-2.1316282072803006e-13,-0.11144212938452888,5.329070518200751e-13,2.1316282072803006e-12,-0.5184639749755973,0.0,70.0,1.0,3.0,253.0
6,0.30000000000000004,-2.500000000000006,-10.000000000000025,-0.017820147743404426,0.0,0.0,-0.13733753841091045,5.329070518200751e-13,2.1316282072803006e-12,-0.5173732524696106,0.0,70.0,1.0,2.999999999987659,252.60468512213174
7,0.35000000000000003,-2.500000000000006,-10.000000000000025,-0.02533375384109132,0.0,0.0,-0.16317945463148995,0.0,0.0,-0.5162350646591681,0.0,70.0,1.0,2.9999999999784035,252.20819896373058
8,0.4,-2.500000000000006,-10.000000000000025,-0.03413809320655342,0.0,0.0,-0.18896104487682727,0.0,0.0,-0.514877665104316,0.0,70.0,1.0,2.9999999999753184,251.8093702442635
9,0.45,-2.500000000000006,-10.000000000000025,-0.04422985832877405,0.0,0.0,-0.21466722114192155,0.0,0.0,-0.5131640203036799,0.0,70.0,1.0,2.9999999999814886,251.4070276831976
10,0.5,-2.500000000000006,-10.000000000000025,-0.05560481532074558,0.0,0.0,-0.24027744690719527,0.0,0.0,-0.5110141805853841,0.0,70.0,1.0,3.0,251.0
11,0.55,-2.500000000000006,-10.000000000000025,-0.06825760301949357,0.0,0.0,-0.26576863920045996,0.0,0.0,-0.5084014656648428,0.0,70.0,1.0,3.000000000030852,250.5882871946706
12,0.6000000000000001,-2.500000000000006,-10.000000000000025,-0.08218167924079157,0.0,0.0,-0.29111759347367955,0.0,0.0,-0.5053462642765094,0.0,70.0,1.0,3.000000000061705,250.17657438934123
13,0.65,-2.500000000000006,-10.000000000000025,-0.09736936236686153,0.0,0.0,-0.3163032656281109,0.0,0.0,-0.5019197422372501,0.0,70.0,1.0,3.0000000000771307,249.77071798667654
14,0.7000000000000001,-2.500000000000006,-10.000000000000025,-0.11381200580360266,0.0,0.0,-0.34130956769740456,0.0,0.0,-0.4982466320370704,0.0,70.0,1.0,3.000000000061705,249.37657438934124
15,0.75,-2.500000000000006,-10.000000000000025,-0.13150031913660198,0.0,0.0,-0.36612792883181794,0.0,0.0,-0.4944754921106742,0.0,70.0,1.0,3.0,249.0
16,0.8,-2.500000000000006,-10.000000000000025,-0.15042479868678446,0.0,0.0,-0.390757116908472,0.0,0.0,-0.49070634250376777,0.0,70.0,1.0,2.999999999888932,248.64216609918577
17,0.8500000000000001,-2.500000000000006,-10.000000000000025,-0.17057603082744918,0.0,0.0,-0.4151985630821947,0.0,0.0,-0.48697698779192056,0.0,70.0,1.0,2.9999999997747784,248.28550347890447
18,0.9,-2.500000000000006,-10.000000000000025,-0.19194465499500393,0.0,0.0,-0.43945481568766404,0.0,0.0,-0.4833312913546245,0.0,70.0,1.0,2.999999999716159,247.90775780903033
19,0.9500000000000001,-2.500000000000006,-10.000000000000025,-0.21452151239621559,0.0,0.0,-0.46353169221765717,0.0,0.0,-0.4798332277718337,0.0,70.0,1.0,2.9999999997716933,247.48667475943745
20,1.0,-2.500000000000006,-10.000000000000025,-0.23829782421676965,0.0,0.0,-0.4874381384648474,0.0,0.0,-0.4765359721840251,0.0,70.0,1.0,3.0,247.0
21,1.05,-2.500000000000006,-10.000000000000025,-0.2632653262427003,0.0,0.0,-0.5111852894360597,0.0,0.0,-0.47346053028743396,0.0,70.0,1.0,3.0000000004134204,246.43504840858625
22,1.1,-2.500000000000006,-10.000000000000025,-0.2894163531603756,0.0,0.0,-0.5347841914935908,0.0,0.0,-0.4705813090313704,0.0,70.0,1.0,3.000000000839182,245.81741169504073
23,1.1500000000000001,-2.500000000000006,-10.000000000000025,-0.3167437453920594,0.0,0.0,-0.5582434203391967,0.0,0.0,-0.46783872870791443,0.0,70.0,1.0,3.000000001058233,245.1822507772021
24,1.2000000000000002,-2.500000000000006,-10.000000000000025,-0.3452406951942953,0.0,0.0,-0.5815680643643822,0.0,0.0,-0.4651609696961101,0.0,70.0,1.0,3.000000000851523,244.564726572909
25,1.25,-2.500000000000006,-10.000000000000025,-0.37490055182849763,0.0,0.0,-0.6047595173088077,0.0,0.0,-0.46249260050519325,0.0,70.0,1.0,3.0,244.0
26,1.3,-2.500000000000006,-10.000000000000025,-0.40571664692517606,0.0,0.0,-0.6278173244149016,0.0,0.0,-0.4597920491669849,0.0,70.0,1.0,2.9999999984573864,243.51364026646922
27,1.35,-2.500000000000006,-10.000000000000025,-0.4376822842699878,0.0,0.0,-0.6507387222255062,0.0,0.0,-0.45698141244629453,0.0,70.0,1.0,2.9999999968684934,243.0928497409325
28,1.4000000000000001,-2.500000000000006,-10.000000000000025,-0.4707905191477267,0.0,0.0,-0.673515465659531,0.0,0.0,-0.45394931828929286,0.0,70.0,1.0,2.9999999960509087,242.71523908216122
29,1.4500000000000002,-2.500000000000006,-10.000000000000025,-0.5050338308359409,0.0,0.0,-0.6961336540544355,0.0,0.0,-0.45059011955088657,0.0,70.0,1.0,2.9999999968222157,242.3584189489266
30,1.5,-2.500000000000006,-10.000000000000025,-0.5404038845531702,0.0,0.0,-0.7185744776146197,0.0,0.0,-0.4467896630912016,0.0,70.0,1.0,3.0,242.0
31,1.55,-2.500000000000006,-10.000000000000025,-0.5768912785974029,0.0,0.0,-0.7408126203635557,0.0,0.0,-0.442516447869834,0.0,70.0,1.0,3.000000005757035,241.62239052553684
